date,day_of_week,week_of_year,food_item,temperature,is_exam_day,is_event_day,is_holiday,avg_last_7_days_sales,prev_day_sales,quantity_prepared,actual_sales,leftover_quantity
2024-04-18,3,16,Masala Dosa,22.74,0,1,0,95,105,126,124,2
2024-04-19,4,16,Fried Rice,33.92,1,1,0,109,121,111,86,25
2024-04-20,5,16,Veg Biryani,20.44,0,1,0,143,140,185,165,20
2024-04-21,6,16,"Schezwan Fried Rice,Paneer Butter Masala",31.81,1,1,1,105,92,71,68,3
2024-04-22,0,17,Poha,33.71,1,1,0,125,119,142,124,18
2024-04-23,1,17,Fried Rice,37.38,1,0,0,64,71,39,14,25
2024-04-24,2,17,Upma,31.7,0,0,0,70,75,93,61,32
2024-04-25,3,17,Pasta,29.93,1,1,0,60,65,71,50,21
2024-04-26,4,17,Idli Sambar,31.71,0,0,0,64,54,65,63,2
2024-04-27,5,17,Fried Rice,39.56,0,0,0,112,101,125,114,11
2024-04-28,6,17,Paratha,28.43,1,0,1,60,63,24,0,24
2024-04-29,0,18,Fries,22.0,0,1,0,121,106,159,133,26
2024-04-30,1,18,Sandwich,25.86,1,1,0,85,95,81,77,4
2024-05-01,2,18,Dal Tadka,28.48,0,1,0,62,73,105,74,31
2024-05-02,3,18,Dal Tadka,40.3,0,0,0,116,117,140,120,20
2024-05-03,4,18,Veg Biryani,38.78,1,0,0,82,81,60,49,11
2024-05-04,5,18,Pasta,25.18,1,1,0,97,109,93,85,8
2024-05-05,6,18,Poha,33.43,0,0,1,141,155,130,118,12
2024-05-06,0,19,Masala Dosa,28.65,1,0,0,97,82,92,90,2
2024-05-07,1,19,Paratha,33.59,0,1,0,110,111,141,112,29
2024-05-08,2,19,Paratha,36.06,1,1,0,76,88,92,69,23
2024-05-09,3,19,Sandwich,29.28,0,0,0,93,83,101,98,3
2024-05-10,4,19,Masala Dosa,23.48,1,0,0,82,89,81,57,24
2024-05-11,5,19,"Schezwan Fried Rice,Paneer Butter Masala",33.35,0,1,0,75,67,100,76,24
2024-05-12,6,19,Rajma Rice,33.74,1,1,1,126,137,115,108,7
2024-05-13,0,20,Idli Sambar,28.55,1,1,0,110,113,105,111,0
2024-05-14,1,20,Masala Dosa,28.82,0,1,0,129,114,156,139,17
2024-05-15,2,20,Upma,29.62,0,1,0,149,147,165,158,7
2024-05-16,3,20,Rajma Rice,23.91,1,0,0,85,94,77,70,7
2024-05-17,4,20,Paratha,24.2,0,1,0,115,129,154,135,19
2024-05-18,5,20,Chicken Biryani,29.44,0,0,0,60,52,73,79,0
2024-05-19,6,20,Noodles,28.9,1,0,1,111,110,79,68,11
2024-05-20,0,21,Chole Bhature,41.87,1,1,0,146,144,149,142,7
2024-05-21,1,21,Sandwich,28.45,1,0,0,73,84,67,43,24
2024-05-22,2,21,Pasta,30.14,1,0,0,77,87,54,50,4
2024-05-23,3,21,Paratha,34.84,1,1,0,74,83,79,57,22
2024-05-24,4,21,"Schezwan Fried Rice,Paneer Butter Masala",35.95,0,1,0,145,155,179,167,12
2024-05-25,5,21,"Schezwan Fried Rice,Paneer Butter Masala",31.12,0,0,0,72,76,79,52,27
2024-05-26,6,21,Upma,28.51,0,1,1,145,131,151,131,20
2024-05-27,0,22,Masala Dosa,40.86,1,1,0,142,136,144,125,19
2024-05-28,1,22,"Schezwan Fried Rice,Paneer Butter Masala",31.13,0,0,0,118,126,130,109,21
2024-05-29,2,22,Dal Tadka,34.2,1,0,0,92,97,72,69,3
2024-05-30,3,22,Poha,35.94,0,1,0,121,135,150,126,24
2024-05-31,4,22,Sandwich,29.79,1,1,0,90,82,87,87,0
2024-06-01,5,22,Paratha,28.81,1,1,0,134,122,143,139,4
2024-06-02,6,22,Masala Dosa,25.46,1,0,1,110,124,65,41,24
2024-06-03,0,23,Upma,21.65,1,1,0,103,92,107,99,8
2024-06-04,1,23,Paratha,32.72,1,1,0,127,130,136,135,1
2024-06-05,2,23,Fries,27.71,1,0,0,149,147,128,133,0
2024-06-06,3,23,Sandwich,28.47,1,1,0,70,58,82,54,28
2024-06-07,4,23,Pasta,29.26,1,1,0,69,58,79,49,30
2024-06-08,5,23,Fried Rice,27.96,0,0,0,72,64,71,48,23
2024-06-09,6,23,Chicken Biryani,29.64,1,0,1,97,104,52,35,17
2024-06-10,0,24,Chicken Biryani,24.88,0,1,0,128,142,155,147,8
2024-06-11,1,24,Fries,27.46,0,0,0,60,52,72,50,22
2024-06-12,2,24,Veg Biryani,23.79,0,1,0,73,85,94,74,20
2024-06-13,3,24,Masala Dosa,32.72,1,1,0,85,99,86,70,16
2024-06-14,4,24,Chicken Biryani,35.17,1,0,0,101,110,95,75,20
2024-06-15,5,24,Rajma Rice,19.81,1,1,0,110,123,105,107,0
2024-06-16,6,24,Paratha,24.96,1,1,1,122,121,90,78,12
2024-06-17,0,25,Veg Biryani,28.8,0,0,0,137,142,146,137,9
2024-06-18,1,25,Fried Rice,34.12,0,1,0,98,101,123,100,23
2024-06-19,2,25,Poha,22.61,1,0,0,123,127,121,115,6
2024-06-20,3,25,Veg Biryani,35.72,1,0,0,92,96,78,51,27
2024-06-21,4,25,Paratha,34.85,1,1,0,92,106,90,66,24
2024-06-22,5,25,Upma,33.6,0,0,0,69,58,73,74,0
2024-06-23,6,25,Upma,36.43,0,1,1,64,77,66,54,12
2024-06-24,0,26,Rajma Rice,27.78,0,1,0,104,90,139,120,19
2024-06-25,1,26,Upma,21.84,1,0,0,128,132,121,97,24
2024-06-26,2,26,Rajma Rice,31.4,0,0,0,97,87,105,93,12
2024-06-27,3,26,Dal Tadka,34.07,0,0,0,149,146,164,148,16
2024-06-28,4,26,Chole Bhature,22.49,0,1,0,148,133,184,184,0
2024-06-29,5,26,Poha,25.62,1,1,0,127,116,128,110,18
2024-06-30,6,26,Upma,31.02,0,0,1,90,100,68,61,7
2024-07-01,0,27,Masala Dosa,30.92,1,0,0,145,140,128,99,29
2024-07-02,1,27,Poha,30.5,0,0,0,80,90,91,89,2
2024-07-03,2,27,Rajma Rice,27.63,1,1,0,113,120,128,115,13
2024-07-04,3,27,Paratha,34.76,0,0,0,80,79,87,71,16
2024-07-05,4,27,Sandwich,33.08,1,1,0,85,78,91,76,15
2024-07-06,5,27,Chole Bhature,26.85,0,1,0,84,94,114,90,24
2024-07-07,6,27,Veg Biryani,22.22,0,0,1,76,71,62,50,12
2024-07-08,0,28,Dal Tadka,16.08,1,1,0,113,121,112,94,18
2024-07-09,1,28,Fries,26.41,0,0,0,85,97,101,93,8
2024-07-10,2,28,Veg Biryani,34.53,1,1,0,130,131,147,135,12
2024-07-11,3,28,Veg Biryani,35.54,1,0,0,122,135,99,85,14
2024-07-12,4,28,Poha,30.88,0,0,0,60,57,83,76,7
2024-07-13,5,28,Noodles,29.43,1,0,0,88,89,82,79,3
2024-07-14,6,28,Pasta,30.78,1,0,1,75,67,34,13,21
2024-07-15,0,29,Upma,28.73,0,0,0,125,131,137,145,0
2024-07-16,1,29,Idli Sambar,37.52,0,0,0,97,100,95,82,13
2024-07-17,2,29,Noodles,22.96,0,1,0,93,105,114,110,4
2024-07-18,3,29,Poha,26.11,1,0,0,91,93,79,54,25
2024-07-19,4,29,Noodles,33.61,0,0,0,131,137,144,122,22
2024-07-20,5,29,Chole Bhature,24.35,1,1,0,110,95,121,95,26
2024-07-21,6,29,Chole Bhature,36.25,1,1,1,75,63,58,55,3
2024-07-22,0,30,Chicken Biryani,32.1,0,0,0,144,142,155,140,15
2024-07-23,1,30,Upma,36.82,1,0,0,144,147,141,127,14
2024-07-24,2,30,Poha,33.85,1,0,0,95,108,83,62,21
2024-07-25,3,30,Chole Bhature,27.39,1,1,0,61,48,65,46,19
2024-07-26,4,30,Rajma Rice,35.25,1,0,0,96,86,75,74,1
2024-07-27,5,30,Masala Dosa,31.06,0,0,0,145,141,165,165,0
2024-07-28,6,30,Pasta,29.52,1,1,1,118,116,95,92,3
2024-07-29,0,31,Noodles,38.51,0,0,0,125,122,134,127,7
2024-07-30,1,31,"Schezwan Fried Rice,Paneer Butter Masala",30.44,1,1,0,81,76,87,89,0
2024-07-31,2,31,Dal Tadka,23.56,0,1,0,146,135,176,168,8
2024-08-01,3,31,Pasta,30.5,0,0,0,144,138,150,127,23
2024-08-02,4,31,"Schezwan Fried Rice,Paneer Butter Masala",29.26,0,0,0,135,142,144,139,5
2024-08-03,5,31,Noodles,26.6,0,1,0,86,95,116,93,23
2024-08-04,6,31,Noodles,33.56,1,0,1,112,103,73,57,16
2024-08-05,0,32,Idli Sambar,23.34,0,1,0,85,90,114,120,0
2024-08-06,1,32,Sandwich,30.74,1,1,0,88,93,95,78,17
2024-08-07,2,32,Poha,28.89,0,1,0,95,96,123,98,25
2024-08-08,3,32,Veg Biryani,29.36,0,1,0,83,89,109,82,27
2024-08-09,4,32,Poha,32.78,1,0,0,95,94,86,66,20
2024-08-10,5,32,Chicken Biryani,31.18,0,0,0,132,142,132,116,16
2024-08-11,6,32,Sandwich,31.16,0,0,1,132,124,113,117,0
2024-08-12,0,33,Dal Tadka,33.84,0,0,0,84,75,83,78,5
2024-08-13,1,33,Fried Rice,38.01,1,1,0,103,106,99,89,10
2024-08-14,2,33,Paratha,26.36,0,1,0,108,121,148,143,5
2024-08-15,3,33,Idli Sambar,28.76,1,1,0,114,115,129,127,2
2024-08-16,4,33,Fries,36.42,1,1,0,139,129,144,133,11
2024-08-17,5,33,Chicken Biryani,33.45,0,1,0,148,144,187,182,5
2024-08-18,6,33,Upma,30.72,1,0,1,91,85,52,42,10
2024-08-19,0,34,Paratha,28.09,1,1,0,82,92,91,72,19
2024-08-20,1,34,Noodles,24.59,1,1,0,107,99,124,116,8
2024-08-21,2,34,Poha,35.27,1,1,0,141,155,156,132,24
2024-08-22,3,34,Masala Dosa,34.69,0,0,0,76,74,84,80,4
2024-08-23,4,34,Idli Sambar,27.42,0,1,0,104,90,125,111,14
2024-08-24,5,34,"Schezwan Fried Rice,Paneer Butter Masala",36.28,0,1,0,98,97,132,137,0
2024-08-25,6,34,Paratha,25.53,0,0,1,145,154,123,102,21
2024-08-26,0,35,Fried Rice,31.34,0,1,0,125,132,151,123,28
2024-08-27,1,35,Upma,34.45,1,0,0,89,100,83,68,15
2024-08-28,2,35,Dal Tadka,27.41,0,0,0,116,116,136,126,10
2024-08-29,3,35,Rajma Rice,37.05,0,1,0,69,83,93,74,19
2024-08-30,4,35,Poha,20.69,0,0,0,127,129,134,121,13
2024-08-31,5,35,Poha,28.5,0,1,0,124,129,166,140,26
2024-09-01,6,35,Pasta,28.77,1,0,1,127,123,83,55,28
2024-09-02,0,36,Chole Bhature,25.58,1,0,0,102,114,83,80,3
2024-09-03,1,36,Sandwich,31.22,0,0,0,121,118,125,103,22
2024-09-04,2,36,Dal Tadka,34.64,1,1,0,111,99,111,116,0
2024-09-05,3,36,Chole Bhature,35.84,0,1,0,133,128,157,154,3
2024-09-06,4,36,Idli Sambar,38.11,1,1,0,100,101,99,77,22
2024-09-07,5,36,Chole Bhature,32.58,1,1,0,146,147,146,143,3
2024-09-08,6,36,Rajma Rice,35.97,0,0,1,120,131,96,91,5
2024-09-09,0,37,Poha,30.85,0,0,0,62,49,74,65,9
2024-09-10,1,37,Fried Rice,29.98,0,0,0,148,141,159,130,29
2024-09-11,2,37,Idli Sambar,26.94,0,1,0,68,55,95,73,22
2024-09-12,3,37,Chole Bhature,28.06,0,0,0,68,67,78,54,24
2024-09-13,4,37,Rajma Rice,25.47,1,1,0,138,128,145,119,26
2024-09-14,5,37,Chole Bhature,34.87,1,0,0,107,117,99,78,21
2024-09-15,6,37,Pasta,33.47,0,0,1,128,125,110,96,14
2024-09-16,0,38,Chicken Biryani,24.7,0,0,0,104,118,126,99,27
2024-09-17,1,38,Fries,36.62,1,1,0,136,133,131,129,2
2024-09-18,2,38,Fries,24.34,1,1,0,78,78,86,55,31
2024-09-19,3,38,Idli Sambar,28.67,1,1,0,72,67,82,74,8
2024-09-20,4,38,Idli Sambar,28.66,0,1,0,101,89,132,107,25
2024-09-21,5,38,"Schezwan Fried Rice,Paneer Butter Masala",35.2,1,1,0,101,95,105,110,0
2024-09-22,6,38,Poha,29.53,1,0,1,98,100,42,34,8
2024-09-23,0,39,Noodles,25.95,1,0,0,125,122,118,104,14
2024-09-24,1,39,Dal Tadka,34.31,1,1,0,76,68,78,70,8
2024-09-25,2,39,Poha,28.89,1,1,0,142,156,147,126,21
2024-09-26,3,39,Chicken Biryani,30.95,0,0,0,122,134,144,115,29
2024-09-27,4,39,"Schezwan Fried Rice,Paneer Butter Masala",27.77,0,0,0,123,124,134,125,9
2024-09-28,5,39,Veg Biryani,30.97,1,0,0,69,75,44,44,0
2024-09-29,6,39,Fried Rice,40.1,1,0,1,111,124,68,70,0
2024-09-30,0,40,Sandwich,26.3,0,1,0,70,55,104,84,20
2024-10-01,1,40,Veg Biryani,27.16,1,1,0,146,156,150,118,32
2024-10-02,2,40,Noodles,33.66,1,0,0,88,76,76,66,10
2024-10-03,3,40,Veg Biryani,30.44,1,1,0,88,101,91,69,22
2024-10-04,4,40,"Schezwan Fried Rice,Paneer Butter Masala",35.83,1,0,0,106,104,100,85,15
2024-10-05,5,40,Poha,28.89,1,0,0,80,79,69,71,0
2024-10-06,6,40,Fries,24.27,0,1,1,143,133,154,130,24
2024-10-07,0,41,Paratha,29.77,0,0,0,97,96,105,75,30
2024-10-08,1,41,Dal Tadka,31.22,0,1,0,123,124,150,143,7
2024-10-09,2,41,Masala Dosa,42.58,1,0,0,119,117,117,105,12
2024-10-10,3,41,Fries,21.72,0,0,0,67,66,76,74,2
2024-10-11,4,41,Masala Dosa,32.57,0,0,0,62,66,84,74,10
2024-10-12,5,41,Pasta,28.72,0,0,0,137,128,161,139,22
2024-10-13,6,41,Chole Bhature,31.83,0,0,1,107,116,80,60,20
2024-10-14,0,42,Rajma Rice,22.1,0,1,0,70,67,108,101,7
2024-10-15,1,42,Rajma Rice,29.13,0,1,0,97,92,132,104,28
2024-10-16,2,42,Paratha,26.56,1,1,0,100,92,105,98,7
2024-10-17,3,42,Chicken Biryani,28.68,1,0,0,105,104,95,91,4
2024-10-18,4,42,Chole Bhature,27.98,1,1,0,79,64,85,75,10
2024-10-19,5,42,Upma,31.04,0,0,0,92,85,112,79,33
2024-10-20,6,42,Poha,19.79,0,0,1,136,140,108,92,16
2024-10-21,0,43,Rajma Rice,38.99,0,0,0,74,60,84,69,15
2024-10-22,1,43,Veg Biryani,33.2,0,1,0,108,100,145,115,30
2024-10-23,2,43,"Schezwan Fried Rice,Paneer Butter Masala",31.05,1,0,0,132,123,111,101,10
2024-10-24,3,43,Fries,34.4,1,0,0,67,59,65,63,2
2024-10-25,4,43,Chole Bhature,32.59,1,0,0,66,61,58,40,18
2024-10-26,5,43,"Schezwan Fried Rice,Paneer Butter Masala",36.54,1,0,0,117,123,103,77,26
2024-10-27,6,43,Rajma Rice,28.89,1,1,1,141,147,118,103,15
2024-10-28,0,44,Dal Tadka,23.93,0,0,0,72,81,81,84,0
2024-10-29,1,44,Noodles,28.23,1,0,0,104,96,103,89,14
2024-10-30,2,44,Veg Biryani,19.87,0,1,0,129,131,167,146,21
2024-10-31,3,44,Chicken Biryani,24.36,1,0,0,94,107,78,64,14
2024-11-01,4,44,Sandwich,32.82,1,1,0,135,136,148,127,21
2024-11-02,5,44,Paratha,34.37,1,0,0,119,127,106,104,2
2024-11-03,6,44,"Schezwan Fried Rice,Paneer Butter Masala",33.84,0,1,1,95,105,84,62,22
2024-11-04,0,45,Paratha,36.58,0,1,0,98,92,133,136,0
2024-11-05,1,45,Pasta,32.2,1,1,0,71,58,74,60,14
2024-11-06,2,45,Fries,27.55,0,1,0,85,77,116,105,11
2024-11-07,3,45,Chole Bhature,33.11,1,0,0,101,97,97,65,32
2024-11-08,4,45,Upma,31.62,1,1,0,100,114,117,107,10
2024-11-09,5,45,Noodles,28.54,0,1,0,148,152,170,149,21
2024-11-10,6,45,Fried Rice,23.37,1,1,1,87,73,53,33,20
2024-11-11,0,46,Chicken Biryani,35.37,0,0,0,124,116,137,113,24
2024-11-12,1,46,Idli Sambar,29.77,0,0,0,70,64,72,60,12
2024-11-13,2,46,"Schezwan Fried Rice,Paneer Butter Masala",32.39,0,1,0,139,133,174,172,2
2024-11-14,3,46,Fries,29.18,1,0,0,67,62,48,52,0
2024-11-15,4,46,Chole Bhature,24.27,1,0,0,123,129,123,116,7
2024-11-16,5,46,Fried Rice,21.82,0,0,0,135,124,146,149,0
2024-11-17,6,46,Dal Tadka,36.03,0,1,1,103,111,116,87,29
2024-11-18,0,47,"Schezwan Fried Rice,Paneer Butter Masala",28.7,0,0,0,137,123,154,124,30
2024-11-19,1,47,Veg Biryani,29.02,0,1,0,79,89,100,76,24
2024-11-20,2,47,Veg Biryani,33.66,1,1,0,128,113,136,127,9
2024-11-21,3,47,Paratha,29.6,1,0,0,71,65,64,57,7
2024-11-22,4,47,Fries,30.7,0,1,0,116,107,155,142,13
2024-11-23,5,47,Fries,32.26,1,1,0,82,78,80,79,1
2024-11-24,6,47,Poha,25.31,1,1,1,67,69,33,14,19
2024-11-25,0,48,Noodles,33.22,1,1,0,88,78,96,83,13
2024-11-26,1,48,Chicken Biryani,34.03,1,1,0,149,144,161,145,16
2024-11-27,2,48,Idli Sambar,23.91,0,1,0,141,142,177,150,27
2024-11-28,3,48,Pasta,27.99,1,1,0,148,146,141,121,20
2024-11-29,4,48,Upma,31.4,1,1,0,78,78,85,76,9
2024-11-30,5,48,Idli Sambar,26.14,1,1,0,125,127,134,108,26
2024-12-01,6,48,Pasta,31.48,0,1,1,92,85,104,80,24
2024-12-02,0,49,Veg Biryani,28.69,1,0,0,134,122,117,90,27
2024-12-03,1,49,"Schezwan Fried Rice,Paneer Butter Masala",27.46,1,1,0,63,53,76,52,24
2024-12-04,2,49,Rajma Rice,33.61,1,1,0,142,139,142,145,0
2024-12-05,3,49,Chole Bhature,33.18,0,1,0,113,104,142,133,9
2024-12-06,4,49,Upma,35.86,0,0,0,78,90,73,69,4
2024-12-07,5,49,Veg Biryani,40.14,0,1,0,94,90,123,104,19
2024-12-08,6,49,Chicken Biryani,38.21,0,1,1,133,119,139,113,26
2024-12-09,0,50,Veg Biryani,35.05,1,0,0,144,154,122,106,16
2024-12-10,1,50,Poha,21.85,1,0,0,74,69,65,44,21
2024-12-11,2,50,Chicken Biryani,30.85,1,0,0,105,107,96,76,20
2024-12-12,3,50,Paratha,28.74,1,0,0,134,137,121,118,3
2024-12-13,4,50,Fried Rice,31.96,0,1,0,72,78,106,98,8
2024-12-14,5,50,Pasta,21.54,0,1,0,111,109,151,122,29
2024-12-15,6,50,"Schezwan Fried Rice,Paneer Butter Masala",29.51,0,1,1,67,67,64,70,0
2024-12-16,0,51,Rajma Rice,25.05,0,0,0,63,73,74,59,15
2024-12-17,1,51,Chicken Biryani,34.7,0,0,0,133,124,154,126,28
2024-12-18,2,51,Poha,34.74,1,0,0,120,114,96,76,20
2024-12-19,3,51,Paratha,26.69,1,1,0,66,72,67,59,8
2024-12-20,4,51,Idli Sambar,24.99,1,0,0,72,79,59,38,21
2024-12-21,5,51,"Schezwan Fried Rice,Paneer Butter Masala",30.34,1,0,0,74,68,60,56,4
